Key;Type;Desc;Author;Date;English;Spanish;Italian;German;Portuguese;French
1;Text;;Yogi Bhajan;20/1/1999;Oh God, who created the Self, bless Me within me. Oh my purity, shine through me. Oh my commitment, serve through me. Oh my grace, love through me to fulfill the destiny of Almighty God consciouslG4:L4y. ;Oh Dios, que creaste el Ser, bendíceme dentro de mi.  Oh, mi pureza, resplandece a través de mi.  Oh mi compromiso, sirve a través de mi.  Oh mi gracia, ama a través de mi para cumplir el destino de Dios Todopoderoso conscientemente. ;;"Oh Gott, du hast mein Innerstes Selbst erschaffen, segne mich darinnen. Oh meine unschuldige reine Seele leuchte in die Welt.   Oh mein innerster Entschluss, lass mich mit dir segensreich wirken. Oh mein würdevolles Wesen, führe mich auf den Weg der Liebe, um bewusst die Bestimmung zu verwirklichen, die der Allmächtige auf meine Stirn geschrieben hat.
";Oh Deus, que criou o Ser, abençoe-Me dentro de mim. Oh minha pureza, brilhe através de mim. Oh meu compromisso, sirva através de mim. Oh minha graça, ame através de mim para realizar o destino do Deus todo Poderoso, conscientemente. ;O Dieu, toi qui as créé le Soi, bénit Moi  avec moi. O ma pureté, irradie à travers moi. O mon engagement, sert à travers moi. O ma grâce, aime à travers moi afin d’accomplir consciemment le destin de Dieu tout-puissant.
2;Text;;Yogi Bhajan;15/3/1995;The law of happiness is ‘let things come to you’. What comes to you will make you happy, what you go after shall make you miserable. The ‘going after it’ will make you sweaty and miserable. Then when you get it, you can’t handle it. ;La ley de la felicidad es ‘deja que las cosas vengan hacia ti.’  Lo que viene hacia ti te hará feliz, lo que persigues te hará miserable.  El ‘andar detrás de’ te pondrá sudoroso y miserable.  Luego, cuando lo consigues, no puedes con ello.;;Befindest du dich in Übereinstimmung mit dem Gesetz des Glücks, werden die Dinge zu dir kommen. Es ist ein Glück, wenn etwas zu dir kommt und es ist ein Unglück, wenn du hinterher rennen musst. Das hinterher Rennen bringt dich zum Schwitzen und zum Verzweifeln. Und wenn du es dann hast, kannst du nichts damit anfangen. ;A lei da felicidade é ‘deixe as coisas virem para você’. O que vier para você lhe fará feliz, o que você for atrás poderá fazê-lo miserável. O ‘ir atrás de’ fará você suar e ser miserável. Então, quando você obtém, não pode lidar com isso. ;La loi du bonheur est de « laisser les choses venir à vous ». Ce qui vient à vous vous rendra heureux, ce après quoi vous courez vous rendra malheureux. Le “courir après les choses” vous met en sueur et malheureux. Et après quand vous l’obtenez,  vous ne savez pas le tenir.  
3;Text;;Yogi Bhajan;30/3/1990;You must understand in life, when you go to somebody and you deal with him, that person has his own agenda, his own personality, and you have the same. It’s a direct entanglement. Make it as beautiful, as sovereign, as it can be. ;Debes entender algo en la vida, cuando vas donde alguien y tratas con él, esa persona tiene su propio tema, su propia personalidad, y tú tienes lo mismo.  Es un enredo directo.  Hazlo tan bello, tan soberano, como pueda ser.;;Verstehe, dass ein Mensch, zu dem du gehst und von dem du etwas willst, genau wie du seine eigenen Vorstellungen, Pläne und seine eigene Persönlichkeit hat. So ist das in diesem Leben. Du musst dich direkt auf ihn einlassen. Mache das so angenehm, so schön und souverän auf Gegenseitigkeit bedacht, wie nur möglich.;Você deve entender que na vida, quando você se dirige a alguém e lida com ele, essa pessoa tem sua própria agenda, sua própria personalidade e você tem o mesmo. É um envolvimento direto. Faça-o tão bonito, tão soberano, quanto possa ser. ;Vous devez comprendre que dans la vie, quand vous rencontrez quelqu’un et que vous traitez avec cette personne, cette personne tout comme vous a son propre agenda et sa propre personnalité. C’est un enchevêtrement direct. Faites en sorte qu’il soit magnifique et souverain.
4;Text;;Yogi Bhajan;29/7/1997;We are always looking for things that can satisfy our senses. We have to look for things that can satisfy our souls. ;Siempre estamos buscando cosas que puedan satisfacer nuestros sentidos.  Tenemos que buscar cosas que puedan satisfacer nuestras almas.;;Wir schauen immer nach Dingen, die unsere Sinne befriedigen. Wir sollten nach Dingen Ausschau halten, die unsere Seele befriedigt.;Nós estamos sempre procurando coisas que possam satisfazer nossos sentidos. Temos que procurar coisas que satisfaçam nossa alma. ;Nous recherchons toujours les choses qui puissent satisfaire nos sens. Nous devons rechercher les choses qui puissent satisfaire nos âmes. 
5;Text;;Yogi Bhajan;5/1/1994;When you have to let something go, let it go with grace. When something comes, let it come with grace. And there’s one simple thing to understand: Whether you give or share, or are kind or not, do not ever let your grace fall. ;Cuando tienes que dejar ir algo, déjalo ir con gracia.  Cuando algo venga, déjalo venir con gracia.  Y hay sólo una simple cosa que entender:  ya sea que tú des y  compartas, o seas amable o no, nunca dejes caer tu gracia.;;Wenn du etwas aufgeben musst, gib es voll Anmut auf. Wenn etwas zu dir kommen will, nimm es voll Anmut an. Es gib eine einfache Regel: Was immer du tust, tue es anmutig.;Quando você tem que deixar algo ir, deixe-o ir com graça. Quando algo vem, deixe-o vir com graça. Existe apenas uma coisa para entender: Quer você dê ou compartilhe, ou é bom ou não, nunca perca sua graça. ;Quand vous devez laisser quelque chose partir, faites-le avec grâce. Quand quelque chose arrive, laissez-le venir avec grâce. Et il y a une chose très simple à comprendre : Que vous donnez ou partagez, que vous soyez aimable ou non, ne laissez jamais tomber votre grâce. 
6;Text;;Yogi Bhajan;25/3/1992;Test yourself. Are you you? Do you know your body? Do you know your mind? Do you know your soul? Do you know the purpose and projection of your life? ;Pruébate a ti mismo.  ¿Eres tú, tú?  ¿Conoces tu cuerpo?  ¿Conoces tu mente?  ¿Conoces tu alma?  ¿Conoces el propósito y la proyección de tu vida?;;"Prüfe dich selbst. Weißt du, wer du bist? Kennst du deinen Körper? Kennst du deinen Geist? Kennst du deine Seele?
Kennst du den Sinn und Zielsetzung deines Lebens?";Teste-se. Você é você? Conhece seu corpo? Sua mente? Você conhece a proposta e a projeção da sua vida?;"Interrogez-vous. Êtes-vous, vous? Connaissez-vous votre corps ?
Connaissez-vous votre mental ? Connaissez-vous votre âme ? Connaissez –vous le propos et la projection de votre vie? "
7;Text;;Yogi Bhajan;9/1/1995;As long as you do not learn to not have desire, you are never going to be desirable. Desirable to whom? The One who created you.! That is spirituality. When you have earthly desires and earthly achievements, then you are confined here. ;Mientras no aprendas a no tener deseos, tú nunca serás deseable.  ¿Deseable para quién?  El Uno que te creó.  Eso es espiritualidad.  Cuando tienes deseos terrenales y logros terrenales, entonces estás confinado aquí.;;Solange du nicht lernst, wunschlos zu sein, bist du nicht erwuenscht. Erwuenscht von wem? Erwuenscht von dem, der dich geschaffen hat!  Das ist Spiritualitaet. Solange du irdische Wuensche hast und irdische Dinge erreichst, bleibst du hier stecken.;Na medida em que você não aprende a não ter desejo, você nunca será desejado. Desejado por quem? Pó Aquele que te criou! Isso é espiritualidade. Quando você tem desejos e realizações terrenas, você está confinado aqui. ;Aussi longtemps que vous n’apprendrez pas à ne plus avoir de désir, vous ne serez jamais désirable. Désirable pour qui? Pour Celui qui vous a créé. C’est cela la spiritualité. Quand vous avez des désirs et des réalisations terrestres, vous êtes confiné ici. 
8;Text;;Yogi Bhajan;27/3/1995;Great teachers carry masses with them. The great teacher carves the student to be the future. Thus the Golden Rule is established. ;Grandes profesores llevan masas con ellos.  El gran profesor esculpe al estudiante para ser el futuro.  De este modo la regla dorada es establecida.;;Große Lehrer tragen die Massen mit sich. Große Lehrer formen die Schüler für die Zukunft. So wird die goldene Kette erschaffen.;Grandes mestres carregam o povo com ele. O grande professor molda o aluno para ser o futuro. Portanto, a regra de ouro está estabelecida.;Les enseignants remarquables entraînent les foules avec eux. L’enseignant remarquable sculpte l’étudiant pour être le futur. Ainsi la règle d’or est établie. 
9;Text;;Yogi Bhajan;5/1/1994;Don’t let anybody down, don’t let yourself down, and don’t participate directly or indirectly in letting anyone down. ;Nunca defraudes a nadie, no te defraudes a ti mismo, y no participes directa o indirectamente en defraudar a nadie.;;Gibt niemals jemanden auf, gib dich niemals selbst auf und beteilige dich niemals direkt oder indirekt daran, jemanden aufzugeben.;Não desaponte ninguém, não se desaponte e não participe diretamente ou indiretamente em desapontar alguém. ;Ne laissez personne être diminué, ne vous diminuez pas vous-même et ne participez pas directement ou indirectement à laisser quiconque être diminué. 
10;Text;;Yogi Bhajan; 7/9/92;When you reach the Infinite Reality through your actions, then you reach the reality of God. Then there’s no reaction. There’s resurrection.;Cuando alcanzas la Realidad Infinita a través de tus acciones, entonces alcanzas la realidad de Dios.  Entonces no hay reacción.  Hay resurrección.;;Wenn wir durch unser Tun die unendliche Wirklichkeit berühren, betreten wir Gottes Reich. Da ist kein Widerstehen mehr, da ist immerwährndes Neuentstehen.;Quando você alcança a Realidade Infinita através de suas ações, então você atinge a realidade de Deus. Então não há reação. Existe ressurreição. ;Quand vous atteignez la réalité infinie à travers vos actions, alors vous atteignez la réalité de Dieu. Alors il n’y a plus de réaction. Il y a résurrection. 
